method,attention_params,trainable_params,signer_mean_accuracy,signer_sd_accuracy,signer_mean_macro_f1,signer_sd_macro_f1,pooled_accuracy,pooled_macro_f1,n_test
none,0,6980506,0.947793679189028,0.05168844052100396,0.9460637421992032,0.05280213787094147,0.9482093663911846,0.9477200548602254,1815
se,131072,7111578,0.9371926058437686,0.051662653862565,0.9303957748532636,0.05432755715938159,0.947107438016529,0.9463465287436541,1815
mlp,17480,6997986,0.9454955277280859,0.040223927657960734,0.9394970686449111,0.04451347128363606,0.9487603305785124,0.9481729323037726,1815
qca,17464,6997970,0.9450387596899225,0.04946414328137629,0.9426459577260003,0.04937899943326649,0.949862258953168,0.9497038169105126,1815
